	0
0	385.024
1	390.523
2	372.794
3	385.18
4	370.963
5	376.894
6	391.73
7	385.577
8	395.803
9	399.873
10	389.018
11	367.026
12	385.577
13	395.627
14	390.453
15	381.02
16	354.517
17	374.584
18	389.357
19	410.834
20	390.453
21	410.834
22	389.357
23	389.018
24	389.357
25	374.584
26	361.593
27	371.281
28	374.661
29	369.144
30	379.854
31	374.127
32	367.026
33	245.822
34	390.453
35	364.849
36	383.294
37	354.517
38	383.637
39	389.018
40	374.127
41	381.651
42	374.127
43	373.081
44	387.352
45	401.012
46	209.884
47	384.623
48	371.046
49	410.834
50	385.024
51	387.352
52	393.475
53	401.012
54	361.593
55	393.475
56	395.803
57	374.661
58	374.126
59	384.498
60	395.935
61	371.281
62	379.723
63	384.623
64	374.126
65	393.475
66	364.849
67	374.126
68	381.02
69	370.963
70	395.627
71	399.873
72	376.31
73	381.02
74	393.475
75	395.803
76	384.623
77	379.723
78	369.144
79	369.144
80	374.126
81	384.498
82	374.127
83	364.849
84	364.849
85	381.651
86	373.081
87	354.517
88	389.018
89	373.279
90	379.854
91	387.352
92	245.822
93	354.517
94	387.352
95	370.963
96	376.894
97	385.577
98	382.995
99	384.623
100	383.637
101	245.822
102	209.884
103	376.894
104	360.358
105	379.723
106	379.723
107	373.279
108	391.73
109	381.02
110	389.357
111	391.73
112	390.523
113	391.73
114	391.73
115	209.884
116	391.73
117	379.854
118	376.894
119	401.012
120	390.453
121	361.593
122	364.849
123	374.661
124	383.637
125	354.517
126	360.358
127	395.935
128	374.126
129	374.584
130	376.31
131	395.935
132	382.995
133	379.854
134	395.935
135	245.822
136	373.081
137	383.294
138	373.279
139	383.294
140	379.854
141	410.834
142	361.593
143	354.517
144	385.024
145	379.723
146	399.873
147	385.577
148	371.046
149	381.651
150	390.523
151	360.358
152	369.144
153	382.995
154	395.627
155	346.693
156	390.523
157	385.18
158	385.024
159	381.02
160	374.584
161	395.803
162	383.294
163	384.623
164	360.358
165	387.352
166	391.73
167	395.803
168	393.475
169	387.352
170	209.884
171	381.02
172	245.822
173	346.693
174	383.637
175	372.794
176	346.693
177	374.127
178	379.723
179	371.046
180	346.693
181	367.026
182	383.294
183	374.584
184	381.651
185	395.803
186	385.18
187	371.281
188	395.627
189	410.834
190	376.31
191	385.024
192	382.995
193	367.026
194	209.884
195	372.794
196	354.517
197	373.279
198	390.453
199	374.661
200	390.523
201	245.822
202	376.894
203	346.693
204	376.31
205	376.894
206	401.012
207	374.127
208	401.012
209	370.963
210	383.637
211	381.02
212	372.794
213	385.18
214	389.018
215	373.279
216	374.584
217	385.18
218	346.693
219	383.294
220	401.012
221	371.046
222	374.661
223	379.854
224	401.012
225	369.144
226	382.995
227	374.584
228	376.31
229	376.31
230	390.523
231	372.794
232	371.281
233	395.627
234	387.352
235	374.661
236	385.577
237	370.963
238	395.935
239	245.822
240	395.627
241	346.693
242	385.577
243	371.281
244	390.523
245	389.357
246	390.453
247	381.651
248	399.873
249	393.475
250	382.995
251	385.577
252	373.279
253	395.803
254	371.046
255	383.637
256	374.126
257	369.144
258	361.593
259	399.873
260	374.661
261	384.498
262	399.873
263	373.081
264	389.357
265	367.026
266	385.024
267	410.834
268	385.024
269	360.358
270	384.498
271	373.279
272	372.794
273	371.046
274	384.498
275	371.281
276	209.884
277	364.849
278	373.081
279	370.963
280	385.18
